pair	gold_file	pred_file	sent_id	token_id	form	gold_head	pred_head	gold_deprel	pred_deprel
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:312	20	usika	13	2	advcl	parataxis
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:312	26	apekatú	20	20	advmod	advcl
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:321	5	piá	1	6	nsubj	nmod:poss
single	test-6.conllu	test-6.out.conllu	Avila2021:28:1:324	1	Igantiwa	3	0	vocative	root
single	test-6.conllu	test-6.out.conllu	Avila2021:28:1:324	3	itá	0	1	root	conj
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:378	5	iwasuíma	4	4	ccomp	xcomp
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:392	4	sakusawa	3	6	obj	nsubj
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:392	6	usika	3	3	xcomp	parataxis
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:401	2	iwá-itá	0	5	root	vocative
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:401	5	usinhĩ	2	0	acl:relcl	root
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:401	7	amú-itá	5	5	nsubj	obj
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:401	8	se	7	5	nmod	obl
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:403	3	rapé	1	6	nsubj	nmod:poss
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:425	6	iké	3	3	parataxis	advmod
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:425	8	aikú	6	3	cop	aux
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:425	16	yepewasú	14	14	advmod	parataxis
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:425	18	akití	11	16	parataxis	advmod
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:428	1	Aikwé	0	3	root	advmod
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:428	3	kuxiíma	1	0	advmod	root
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:428	7	yepé	9	5	nsubj	appos
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:428	9	mendasara	1	7	parataxis	amod
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:428	13	uyumuwarixí	9	7	parataxis	conj
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:433	1	Yawé	3	5	csubj	advmod
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:433	2	waá-itá	1	1	nsubj	fixed
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:433	3	aikwewara	0	5	root	advmod
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:433	5	yakuntari	3	0	advcl	root
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:468	6	eré	3	3	parataxis	advmod
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:512	2	asika	1	0	advcl:relcl	root
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:512	6	resika	0	2	root	parataxis
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:522	11	akanga	8	8	nsubj	obj
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:555	5	uyuuka	2	2	ccomp	advcl
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:594	4	rimiarirú	1	1	vocative	obj
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:629	5	traka	2	7	ccomp	discourse
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:629	7	traka	5	13	conj	discourse
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:629	28	tiramé	27	35	fixed	punct
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:629	29	maã	35	32	nsubj	obj
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:629	31	waá	32	30	obj	nsubj
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:629	32	umunhã	30	35	xcomp	advcl
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:629	35	usemu	25	25	conj	parataxis
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:629	43	i	41	41	iobj	obl
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:675	9	uri	4	4	advcl	parataxis
single	test-6.conllu	test-6.out.conllu	NTLN2019:0:0:3	14	upawa	8	8	advcl	ccomp
single	test-6.conllu	test-6.out.conllu	NTLN2019:0:0:3	23	yamanduári	22	22	parataxis	xcomp
single	test-6.conllu	test-6.out.conllu	NTLN2019:5:1:37	10	i	9	9	iobj	obl
single	test-6.conllu	test-6.out.conllu	NTLN2019:5:1:37	12	yepé	9	16	obj	nsubj
single	test-6.conllu	test-6.out.conllu	NTLN2019:5:1:37	17	Jesus	16	18	obj	nsubj
single	test-6.conllu	test-6.out.conllu	NTLN2019:5:1:37	18	uxari	16	16	xcomp	ccomp
single	test-6.conllu	test-6.out.conllu	NTLN2019:5:1:37	21	pú	18	18	obj	obl
single	test-6.conllu	test-6.out.conllu	NTLN2019:5:1:37	22	sesé	18	21	obl	case
single	test-6.conllu	test-6.out.conllu	NLTN2019:4-12:6:206	11	peé	3	8	ccomp	nsubj
single	test-6.conllu	test-6.out.conllu	NLTN2019:4-12:6:206	13	ixé	15	19	nsubj	expl
single	test-6.conllu	test-6.out.conllu	NLTN2019:4-12:6:206	15	kwá	11	16	conj	det
single	test-6.conllu	test-6.out.conllu	NLTN2019:4-12:6:206	16	supí	15	17	acl:relcl	nmod:poss
single	test-6.conllu	test-6.out.conllu	NLTN2019:4-12:6:206	22	sikwesawa	11	19	conj	nsubj
single	test-6.conllu	test-6.out.conllu	NLTN2019:4-12:6:206	26	umaã	3	3	parataxis	ccomp
single	test-6.conllu	test-6.out.conllu	NLTN2019:4-12:6:206	33	harasú	26	26	advcl	ccomp
single	test-6.conllu	test-6.out.conllu	Cruz2011:0:0:15	4	yapirari	1	1	conj	parataxis
single	test-6.conllu	test-6.out.conllu	Cruz2011:0:0:25	2	ara	5	0	nsubj	root
single	test-6.conllu	test-6.out.conllu	Cruz2011:0:0:25	4	waá-itá	5	3	nmod:poss	nsubj
single	test-6.conllu	test-6.out.conllu	Cruz2011:0:0:25	5	ara	0	3	root	obj
single	test-6.conllu	test-6.out.conllu	Cruz2011:0:0:26	1	Xukúi	0	4	root	advmod
single	test-6.conllu	test-6.out.conllu	Cruz2011:0:0:26	4	aíwa	3	0	amod	root
single	test-6.conllu	test-6.out.conllu	Cruz2011:0:0:36	6	waá	3	4	obj	nsubj
single	test-6.conllu	test-6.out.conllu	Cruz2011:0:0:69	2	saurú	1	1	obl	obj
single	test-6.conllu	test-6.out.conllu	Cruz2011:0:0:95	1	Mukura	6	6	dislocated	nsubj
single	test-6.conllu	test-6.out.conllu	Cruz2011:0:0:95	4	tempo	6	6	obl	obj
single	test-6.conllu	test-6.out.conllu	Cruz2011:0:0:95	8	vida	6	10	obj	nsubj
single	test-6.conllu	test-6.out.conllu	Cruz2011:0:0:95	11	kwera	10	12	parataxis	nsubj
single	test-6.conllu	test-6.out.conllu	Cruz2011:0:0:95	12	upuka	10	10	parataxis	ccomp
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:1:7:7	8	Compadre	12	6	vocative	obj
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:1:7:7	12	aputari	6	6	ccomp	parataxis
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:1:7:7	13	amunhã	12	12	xcomp	parataxis
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:1:7:7	32	amunhã	30	30	xcomp	ccomp
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:3:7:31	3	waá	2	2	expl	nsubj
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:3:7:31	11	kariwa	18	6	nsubj	obj
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:3:7:31	18	urikú	6	6	ccomp	parataxis
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:9:26:110	12	apinaitika	8	8	ccomp	parataxis
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:9:30:114	1	Nẽ	14	4	ccomp	advmod
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:9:30:114	4	ayuka	1	0	parataxis	root
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:9:30:114	14	usuaxara	0	4	root	parataxis
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:9:31:115	2	reyuka	10	0	ccomp	root
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:9:31:115	8	uyaxiú	7	7	ccomp	parataxis
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:9:31:115	10	unheẽ	0	8	root	parataxis
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:9:31:115	15	aría	10	10	nsubj	obj
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:11:2:133	9	nhaã	8	10	obj	det
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:11:2:133	10	waimĩ	9	8	acl:relcl	obj
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:11:2:133	11	piri	10	10	advmod	acl:relcl
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:11:13:144	10	ta	11	11	expl	nsubj
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:11:19:150	1	Remaã	15	0	ccomp	root
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:11:19:150	2	indé	1	1	nsubj	obj
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:11:19:150	5	paya	1	15	obj	nsubj
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:11:19:150	15	unheẽ	0	1	root	parataxis
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:11:23:154	2	uwatari	8	0	ccomp	root
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:11:23:154	8	unheẽ	0	2	root	parataxis
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:11:23:154	12	Wakurawá	8	8	nsubj	obj
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:12:7:173	19	sera	23	14	nsubj	obj
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:12:7:173	23	Buburi	14	14	parataxis	nsubj
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:7:15:15	6	ukwá	0	8	root	advcl
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:7:15:15	8	usuaxara	6	0	ccomp	root
single	test-6.conllu	test-6.out.conllu	Casasnovas2006:0:0:24	1	Maã	3	3	nsubj	obj
single	test-6.conllu	test-6.out.conllu	Rodrigues1890:1-1-2:102:102	3	resaisú	2	2	ccomp	parataxis
single	test-6.conllu	test-6.out.conllu	Rodrigues1890:1-1-8:19:19	4	uwapika	3	3	xcomp	parataxis
single	test-6.conllu	test-6.out.conllu	Rodrigues1890:1-1-8:19:19	5	satá	6	4	nmod:poss	obj
single	test-6.conllu	test-6.out.conllu	Rodrigues1890:1-1-8:19:19	11	suú	9	12	obj	nsubj
single	test-6.conllu	test-6.out.conllu	Rodrigues1890:1-1-8:19:19	12	umeẽ	9	9	parataxis	xcomp
single	test-6.conllu	test-6.out.conllu	Rodrigues1890:1-1-8:19:19	15	xeruái	13	12	nmod	obj
single	test-6.conllu	test-6.out.conllu	Rodrigues1890:1-2-5:3:3	6	taíra	5	7	nsubj	nmod:poss
single	test-6.conllu	test-6.out.conllu	Rodrigues1890:3-1:5:5	14	umuwéu	6	6	conj	parataxis
single	test-6.conllu	test-6.out.conllu	Rodrigues1890:3-1:5:5	18	ukupiri	14	14	conj	parataxis
single	test-6.conllu	test-6.out.conllu	Rodrigues1890:4-5-11:1:1	2	Akutí	7	7	vocative	nsubj
single	test-6.conllu	test-6.out.conllu	Rodrigues1890:4-5-11:1:1	4	akutí	2	2	appos	conj
single	test-6.conllu	test-6.out.conllu	Rodrigues1890:4-5-11:1:1	11	akutí	7	7	dislocated	parataxis
single	test-6.conllu	test-6.out.conllu	Rodrigues1890:4-5-11:3:3	4	akutí	2	6	vocative	nsubj
single	test-6.conllu	test-6.out.conllu	Rodrigues1890:4-5-11:3:3	9	akutí	6	6	vocative	obj
single	test-6.conllu	test-6.out.conllu	Magalhaes1876:1:9:9	5	Intí	2	7	ccomp	advmod
single	test-6.conllu	test-6.out.conllu	Magalhaes1876:1:9:9	7	pituna	5	2	nsubj	ccomp
single	test-6.conllu	test-6.out.conllu	Magalhaes1876:1:35:35	19	ara	18	20	obj	nmod:poss
single	test-6.conllu	test-6.out.conllu	Magalhaes1876:2:16:59	5	Apekatú	2	9	ccomp	advmod
single	test-6.conllu	test-6.out.conllu	Magalhaes1876:2:16:59	9	yara	5	2	nsubj	ccomp
single	test-6.conllu	test-6.out.conllu	Magalhaes1876:2:32:75	5	Intí	8	2	advmod	ccomp
single	test-6.conllu	test-6.out.conllu	Magalhaes1876:2:32:75	8	arawira	2	5	ccomp	obl
single	test-6.conllu	test-6.out.conllu	Magalhaes1876:2:32:75	10	itá	8	5	advcl	obl
single	test-6.conllu	test-6.out.conllu	Magalhaes1876:2:32:75	16	kirimawa	18	15	acl:relcl	obj
single	test-6.conllu	test-6.out.conllu	Magalhaes1876:2:32:75	18	waá	15	16	obj	nsubj
single	test-6.conllu	test-6.out.conllu	Magalhaes1876:3:3:92	15	Yautí	12	12	vocative	obj
single	test-6.conllu	test-6.out.conllu	Magalhaes1876:10:37:272	4	yaitiwa	5	3	nmod:poss	obj
single	test-6.conllu	test-6.out.conllu	Amorim1928:21:38:38	4	pira	2	8	obj	nsubj
single	test-6.conllu	test-6.out.conllu	Amorim1928:21:38:38	8	umusakú	2	2	parataxis	ccomp
single	test-6.conllu	test-6.out.conllu	Amorim1928:6-1:145:145	11	awá	14	9	nsubj	obj
single	test-6.conllu	test-6.out.conllu	Amorim1928:6-1:145:145	12	penhẽ	11	9	nmod	obl
single	test-6.conllu	test-6.out.conllu	Amorim1928:8-1:9:3009	3	uikú	5	5	cop	aux
single	test-6.conllu	test-6.out.conllu	Amorim1928:8-1:9:3009	13	umbaú	7	7	xcomp	parataxis
single	test-6.conllu	test-6.out.conllu	Amorim1928:8-1:30:3033	3	sasiára	5	5	xcomp	advcl
single	test-6.conllu	test-6.out.conllu	Amorim1928:8-1:30:3033	5	upitá	7	0	advcl	root
single	test-6.conllu	test-6.out.conllu	Amorim1928:8-1:30:3033	7	usú	0	5	root	parataxis
single	test-6.conllu	test-6.out.conllu	Amorim1928:9:6:6	6	iwaka	7	4	nmod:poss	obj
single	test-6.conllu	test-6.out.conllu	Amorim1928:9:6:6	23	iwiwasú	20	20	xcomp	nsubj
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:1:1	8	umaramunha	3	3	ccomp	parataxis
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:1:1	12	paraná	10	8	nmod	obl
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:2-3:2	1	Buopé	16	3	nsubj	nmod:poss
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:2-3:2	3	tuixawa	1	7	appos	nsubj
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:2-3:2	4	aramé	3	7	nmod	advmod
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:2-3:2	7	urikú	3	0	acl:relcl	root
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:2-3:2	11	mira	9	7	conj	parataxis
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:2-3:2	16	unheẽ	0	11	root	parataxis
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:2-3:2	19	ara	16	16	obl	nsubj
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:2-3:2	27	yarikú	43	16	advcl	ccomp
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:2-3:2	29	kunhã-etá	27	30	obj	nmod:poss
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:2-3:2	30	penhẽ	31	27	nmod:poss	obj
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:2-3:2	39	pepitá	43	27	advcl	parataxis
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:2-3:2	41	piá	39	39	xcomp	obj
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:2-3:2	43	pemendari	16	39	ccomp	obl
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:2-3:2	45	kunhã-etá	43	43	obl	obj
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:2-3:2	47	tetama-etá	45	43	nmod	obl
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:84:8400	8	umaramunhã	6	0	acl:relcl	root
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:84:8400	11	usú	0	8	root	parataxis
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:178:178	1	Wanana-etá	5	4	nmod:poss	nsubj
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:178:178	4	sikwé	2	0	xcomp	root
single	test-6.conllu	test-6.out.conllu	Amorim1928:2:178:178	6	uwiké	0	4	root	parataxis
single	test-6.conllu	test-6.out.conllu	Amorim1928:3:2:2	5	aikwé	15	0	advcl	root
single	test-6.conllu	test-6.out.conllu	Amorim1928:3:2:2	10	waá	11	9	nsubj	fixed
single	test-6.conllu	test-6.out.conllu	Amorim1928:3:2:2	11	uyasí	7	5	acl:relcl	parataxis
single	test-6.conllu	test-6.out.conllu	Amorim1928:3:2:2	15	umundutiwa	0	11	root	parataxis
single	test-6.conllu	test-6.out.conllu	Amorim1928:3:2:2	20	maniáka	17	21	obj	nmod:poss
single	test-6.conllu	test-6.out.conllu	Amorim1928:12:50:50	6	upurungitatiwa	11	0	advcl	root
single	test-6.conllu	test-6.out.conllu	Amorim1928:12:50:50	11	remundú	0	6	root	parataxis
single	test-6.conllu	test-6.out.conllu	Amorim1928:12:50:50	12	awá	11	13	obj	nsubj
single	test-6.conllu	test-6.out.conllu	Amorim1928:12:50:50	13	usikari	11	11	xcomp	ccomp
single	test-6.conllu	test-6.out.conllu	Amorim1928:13:37-38:37-38	11	mimbira	3	17	ccomp	nsubj
single	test-6.conllu	test-6.out.conllu	Amorim1928:13:37-38:37-38	13	waá	15	15	dislocated	nsubj
single	test-6.conllu	test-6.out.conllu	Amorim1928:13:37-38:37-38	16	putari	15	17	aux	cop
single	test-6.conllu	test-6.out.conllu	Amorim1928:13:37-38:37-38	17	i	15	3	obl	ccomp
single	test-6.conllu	test-6.out.conllu	Amorim1928:18:26:26	1	Waturá	11	9	obj	nmod:poss
single	test-6.conllu	test-6.out.conllu	Amorim1928:18:26:26	9	tarubá	1	11	conj	nsubj
single	test-6.conllu	test-6.out.conllu	Amorim1928:20:86-87:86-87	7	amurupí	6	6	xcomp	advmod
single	test-6.conllu	test-6.out.conllu	Amorim1928:20:86-87:86-87	10	i	11	11	nsubj	expl
single	test-6.conllu	test-6.out.conllu	Amorim1928:20:86-87:86-87	11	piaíwa	9	9	advcl	ccomp
single	test-6.conllu	test-6.out.conllu	Amorim1928:20:86-87:86-87	13	paya	9	11	iobj	obl
single	test-6.conllu	test-6.out.conllu	Amorim1928:20:86-87:86-87	18	remumbeú	9	11	ccomp	parataxis
single	test-6.conllu	test-6.out.conllu	Amorim1928:20:86-87:86-87	19	yandé	20	18	nmod:poss	obj
single	test-6.conllu	test-6.out.conllu	Amorim1928:20:86-87:86-87	21	uri	18	18	ccomp	parataxis
single	test-6.conllu	test-6.out.conllu	Amorim1928:20:86-87:86-87	26	kirimbáu	21	21	conj	parataxis
single	test-6.conllu	test-6.out.conllu	Amorim1928:20:86-87:86-87	29	tiapusawa	26	26	obl	nsubj
single	test-6.conllu	test-6.out.conllu	Hartt1938:0:0:79	2	renira	4	0	nsubj	root
single	test-6.conllu	test-6.out.conllu	Hartt1938:0:0:79	4	muíri	0	2	root	nsubj
single	test-6.conllu	test-6.out.conllu	Hartt1938:0:0:88	11	xamunhã	10	7	acl	advcl
single	test-6.conllu	test-6.out.conllu	Hartt1938:0:0:130	2	yepé	1	3	obj	nsubj
single	test-6.conllu	test-6.out.conllu	Hartt1938:0:0:130	3	upuãmu	2	1	acl	ccomp
single	test-6.conllu	test-6.out.conllu	Hartt1938:0:0:142	5	amú	7	7	obj	det
single	test-6.conllu	test-6.out.conllu	Hartt1938:0:0:410	2	usika	5	0	advcl	root
single	test-6.conllu	test-6.out.conllu	Hartt1938:0:0:410	5	usú	0	2	root	advcl
single	test-6.conllu	test-6.out.conllu	Hartt1938:0:0:410	10	ximirikú	8	8	obl	iobj
single	test-6.conllu	test-6.out.conllu	Hartt1938:0:0:493	6	ií	5	5	nsubj	obj
single	test-6.conllu	test-6.out.conllu	Hartt1938:0:0:493	7	upupuri	5	5	parataxis	xcomp
single	test-6.conllu	test-6.out.conllu	Hartt1938:0:0:632	5	suai	4	1	amod	parataxis
single	test-6.conllu	test-6.out.conllu	Costa1909:1:12:12	4	kurasí	5	2	nmod:poss	obj
single	test-6.conllu	test-6.out.conllu	Costa1909:1:12:12	10	pusanga	2	12	parataxis	obj
single	test-6.conllu	test-6.out.conllu	Aguiar1898:4:6:50	2	Yané	3	3	obj	nsubj
single	test-6.conllu	test-6.out.conllu	Aguiar1898:4:6:50	5	salvari	3	3	conj	advcl
single	test-6.conllu	test-6.out.conllu	Aguiar1898:21-1:3:147	2	Tupana	1	1	nsubj	obj
single	test-6.conllu	test-6.out.conllu	Aguiar1898:21-1:3:147	5	Yumunhã	1	1	ccomp	parataxis
single	test-6.conllu	test-6.out.conllu	Aguiar1898:21-1:3:147	6	kandéa	5	5	nsubj	obj
single	test-6.conllu	test-6.out.conllu	Aguiar1898:21-7:2:183	7	waá	6	6	obj	nsubj
single	test-6.conllu	test-6.out.conllu	Aguiar1898:21-7:2:183	8	ara	2	6	obl	obj
single	test-6.conllu	test-6.out.conllu	Aguiar1898:21-7:2:183	9	pú-mukũi	8	6	nummod	obl
single	test-6.conllu	test-6.out.conllu	Studart1926:0:0:3590	2	ipiama	1	1	xcomp	ccomp
